yearID,playerID,Salary,stint_pitch,W,L,G_pitch,GS_pitch,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP_pitch,HBP,BK,BFP,GF,R,SH,SF,GIDP,stint_field,G_field,GS_field,InnOuts,PO,A,E,DP,PB,WP_field,SB,CS,ZR,TrainVal
2007,aardsda01,387500,1,2,1,25,0,0,0,0,97,39,23,4,17,36,0.3,6.4,3.0,2,1.0,0,151.0,7,24,2.0,1.0,1.0,1,25,0.0,97.0,2,4,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,aardsda01,403250,1,4,2,47,0,0,0,0,146,49,30,4,35,49,0.268,5.55,2.0,3,5.0,0,228.0,7,32,3.0,2.0,4.0,1,47,0.0,146.0,3,6,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,aardsda01,419000,1,3,6,73,0,0,0,38,214,49,20,4,34,80,0.19,2.52,3.0,2,0.0,0,296.0,53,23,2.0,1.0,2.0,1,73,0.0,214.0,2,5,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2010,aardsda01,2750000,1,0,6,53,0,0,0,31,149,33,19,5,25,49,0.198,3.44,5.0,2,2.0,0,202.0,43,19,7.0,1.0,5.0,1,53,0.0,149.0,2,3,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,aardsda01,500000,1,0,0,1,0,0,0,0,3,1,1,1,1,1,0.25,9.0,0.0,0,0.0,0,5.0,1,1,0.0,0.0,0.0,1,1,0.0,3.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2011,abadfe01,418000,1,1,4,29,0,0,0,0,59,28,16,5,9,15,0.326,7.32,0.0,0,1.0,0,99.0,1,18,1.0,2.0,0.0,1,29,0.0,59.0,1,2,2.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,abadfe01,485000,1,0,6,37,6,0,0,0,138,57,26,6,19,38,0.311,5.09,1.0,4,3.0,0,208.0,8,27,2.0,1.0,4.0,1,37,6.0,138.0,3,6,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2014,abadfe01,525900,1,2,4,69,0,0,0,0,172,34,10,4,15,51,0.175,1.57,3.0,0,4.0,0,216.0,17,11,1.0,2.0,6.0,1,69,0.0,172.0,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2015,abadfe01,1087500,1,2,2,62,0,0,0,0,143,45,22,11,19,45,0.251,4.15,3.0,4,1.0,0,205.0,17,23,3.0,3.0,1.0,1,62,0.0,143.0,2,4,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2016,abadfe01,1250000,3,1,6,57,0,0,0,1,140,40,19,4,22,41,0.475,9.04,2.0,1,1.0,1,198.0,15,20,0.0,1.0,7.0,3,57,0.0,140.0,0,4,0.0,1,0.0,0.0,0.0,0.0,0.0,Validation
2006,accarje01,330000,3,2,4,65,0,0,0,3,207,76,41,7,20,54,0.5720000000000001,10.879999999999999,5.0,4,1.0,1,297.0,27,42,1.0,4.0,3.0,3,65,0.0,207.0,2,12,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2007,accarje01,392200,1,4,4,64,0,0,0,30,202,51,16,4,24,57,0.206,2.14,2.0,0,2.0,1,275.0,48,19,0.0,1.0,3.0,1,64,0.0,202.0,6,3,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,accarje01,392200,1,0,3,16,0,0,0,4,37,15,9,1,4,5,0.3,6.57,2.0,1,1.0,0,56.0,6,10,0.0,1.0,3.0,1,16,0.0,37.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2010,accarje01,1080000,1,0,1,5,0,0,0,0,20,12,6,0,3,3,0.4,8.1,0.0,2,1.0,0,34.0,2,6,0.0,0.0,2.0,1,5,0.0,20.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2011,accarje01,1080000,1,3,3,31,0,0,0,0,113,43,24,5,18,23,0.295,5.73,4.0,0,1.0,0,167.0,7,24,2.0,0.0,4.0,1,31,0.0,113.0,1,5,0.0,1,0.0,0.0,0.0,0.0,0.0,Training
2010,aceveal01,435650,1,3,0,10,0,0,0,1,36,10,4,1,4,2,0.208,3.0,1.0,0,1.0,0,53.0,2,5,0.0,0.0,0.0,1,10,0.0,36.0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2012,aceveal01,1200000,1,2,10,69,0,0,0,25,252,80,50,11,31,75,0.254,5.36,2.0,3,6.0,1,361.0,55,51,2.0,7.0,4.0,1,69,0.0,252.0,9,12,2.0,1,0.0,0.0,0.0,0.0,0.0,Training
2013,aceveal01,2650000,1,4,1,11,6,0,0,0,111,42,20,8,22,24,0.288,4.86,0.0,0,0.0,2,169.0,3,21,0.0,1.0,4.0,1,11,6.0,111.0,2,7,2.0,0,0.0,0.0,0.0,0.0,0.0,Training
2008,acostma01,392500,1,3,5,46,0,0,0,3,159,48,21,7,26,31,0.247,3.57,5.0,5,1.0,0,226.0,22,25,4.0,1.0,7.0,1,46,0.0,159.0,7,13,2.0,3,0.0,0.0,0.0,0.0,0.0,Training
2012,acostma01,875000,1,1,3,45,0,0,0,1,142,48,34,7,25,46,0.259,6.46,1.0,2,3.0,0,216.0,7,38,1.0,2.0,3.0,1,45,0.0,142.0,3,2,1.0,0,0.0,0.0,0.0,0.0,0.0,Training
2015,adamsau01,507700,1,2,0,28,0,0,0,1,100,37,14,2,13,23,0.276,3.78,0.0,1,0.0,0,149.0,9,15,2.0,0.0,3.0,1,28,0.0,100.0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2009,adamsmi03,414800,1,0,0,37,0,0,0,0,111,14,3,1,8,45,0.111,0.73,1.0,1,0.0,0,136.0,5,9,2.0,0.0,0.0,1,37,0.0,111.0,4,2,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
2010,adamsmi03,1000000,1,4,1,70,0,0,0,0,200,48,13,2,23,73,0.196,1.76,2.0,0,0.0,0,268.0,3,14,0.0,0.0,2.0,1,70,0.0,200.0,4,6,0.0,0,0.0,0.0,0.0,0.0,0.0,Training
