playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,GS,InnOuts,PO,A,E,DP,PB,WP,awardID,lgID,tie,notes,Award_Category
abramcj01,2023,151,151,563,83,138,28,6,18,64,47,4,32,118,2,13,3,3,7,,148,3884,245,384,22,100,,,Player of the Week,NL,,Week of 2023-07-15,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,MLB Players Choice Outstanding Rookie,AL,,,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Player of the Month,AL,,July,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Player of the Month,AL,,April,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Player of the Week,AL,Y,Week of 2014-04-27,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Rookie of the Month,AL,,April,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Rookie of the Month,AL,,July,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Rookie of the Month,AL,,June,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Rookie of the Year,AL,,,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,Silver Slugger,AL,,1B,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,This Year in Baseball Rookie of the Year,ML,,MLB.com GIBBY,Not All-Star
abreujo02,2014,145,,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,,109,2872,970,69,6,105,,,TSN Rookie of the Year,AL,,,Not All-Star
abreujo02,2015,154,,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,,115,3051,952,60,11,100,,,Player of the Week,AL,Y,Week of 2015-09-20,Not All-Star
abreujo02,2015,154,,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,,115,3051,952,60,11,100,,,Player of the Week,AL,Y,Week of 2015-08-02,Not All-Star
abreujo02,2017,156,,621,95,189,43,6,33,102,3,0,35,119,6,15,0,4,21,,138,3591,1135,78,8,130,,,Player of the Week,AL,,Week of 2017-05-27,Not All-Star
abreujo02,2018,128,,499,68,132,36,1,22,78,2,0,37,109,7,11,0,6,14,,114,2999,903,73,8,81,,,Silver Slugger,AL,,1B,Not All-Star
